age,job,marital status ,education,credit default?,Credit Card
33,blue-collar,single,secondary,no,no
47,technician,married,unknown,no,no
45,management,divorced,tertiary,no,no
32,blue-collar,divorced,secondary,no,no
69,retired,married,unknown,no,no
65,unknown,married,unknown,no,no
37,blue-collar,married,secondary,no,no
45,blue-collar,divorced,primary,no,no
36,blue-collar,married,secondary,no,no
62,self-employed,divorced,tertiary,no,no
37,management,married,tertiary,no,yes
39,services,divorced,secondary,no,no
38,technician,single,secondary,no,no
31,management,married,tertiary,no,no
58,blue-collar,divorced,primary,no,no
44,management,single,tertiary,no,no
31,blue-collar,married,secondary,no,no
33,technician,single,secondary,no,no
36,technician,single,tertiary,no,no
31,technician,single,secondary,no,no
45,admin.,married,secondary,no,no
30,technician,single,tertiary,no,no
34,blue-collar,married,secondary,no,no
34,management,married,tertiary,no,yes
39,admin.,divorced,secondary,no,no
41,management,married,tertiary,no,no
32,services,single,secondary,no,no
32,management,single,tertiary,no,no
36,blue-collar,married,primary,no,no
35,admin.,married,tertiary,no,no
32,management,single,tertiary,no,no
33,management,single,tertiary,no,no
49,entrepreneur,married,primary,no,no
35,management,married,tertiary,no,no
31,technician,married,secondary,no,yes
42,management,married,secondary,no,no
34,housemaid,married,primary,no,no
32,services,married,secondary,yes,yes
29,management,single,tertiary,no,no
32,services,single,secondary,no,no
50,housemaid,single,unknown,no,no
58,retired,married,secondary,no,yes
59,technician,married,secondary,no,no
25,student,married,tertiary,no,no
57,services,married,secondary,no,no
30,blue-collar,single,secondary,no,no
26,services,single,secondary,no,no
50,services,single,primary,no,no
39,services,married,secondary,no,no
45,blue-collar,married,primary,no,no
37,management,divorced,tertiary,no,yes
47,blue-collar,divorced,primary,no,no
50,technician,married,tertiary,no,yes
40,management,married,secondary,no,no
35,blue-collar,married,primary,no,no
53,management,married,tertiary,no,no
35,admin.,married,secondary,no,yes
54,technician,married,secondary,no,yes
35,admin.,single,secondary,no,no
31,housemaid,married,unknown,yes,yes
46,technician,divorced,secondary,no,no
52,management,married,secondary,no,no
34,admin.,divorced,secondary,no,no
46,services,divorced,secondary,no,yes
54,self-employed,married,secondary,no,no
37,admin.,married,tertiary,no,no
39,admin.,married,tertiary,no,no
50,technician,married,tertiary,no,yes
44,technician,divorced,secondary,no,no
56,admin.,married,secondary,no,no
40,services,married,tertiary,no,no
36,services,married,secondary,no,yes
33,management,married,tertiary,no,no
33,blue-collar,single,secondary,no,no
42,services,married,secondary,no,no
30,self-employed,single,tertiary,no,yes
33,admin.,single,secondary,no,no
26,blue-collar,single,secondary,no,yes
26,admin.,single,secondary,no,yes
37,services,married,secondary,no,yes
59,retired,married,primary,no,no
49,blue-collar,married,primary,no,no
33,blue-collar,single,primary,no,no
46,technician,single,secondary,no,no
55,entrepreneur,married,primary,no,no
49,services,married,tertiary,no,no
51,technician,married,secondary,no,no
27,admin.,married,secondary,no,no
44,technician,married,secondary,no,no
31,technician,single,secondary,no,no
46,blue-collar,married,primary,no,no
22,student,single,secondary,no,no
49,blue-collar,single,primary,no,no
44,unemployed,married,secondary,no,no
31,self-employed,single,secondary,no,no
53,blue-collar,married,primary,no,no
55,management,married,tertiary,no,no
35,technician,married,secondary,no,no
35,blue-collar,married,secondary,no,no
37,management,single,tertiary,no,no
50,blue-collar,married,secondary,no,no
37,management,married,primary,no,no
37,blue-collar,single,primary,no,no
29,management,single,tertiary,no,no
31,admin.,single,secondary,no,no
40,technician,married,secondary,no,no
47,services,divorced,secondary,no,no
55,self-employed,married,secondary,no,yes
33,technician,single,secondary,no,no
53,services,divorced,secondary,no,no
38,management,single,tertiary,no,no
61,management,married,secondary,no,no
43,unemployed,divorced,secondary,no,no
42,housemaid,married,primary,no,no
36,management,divorced,tertiary,no,no
31,technician,single,tertiary,no,no
59,management,married,unknown,no,no
29,blue-collar,married,primary,no,no
33,technician,married,secondary,no,no
44,blue-collar,married,primary,no,no
43,blue-collar,married,secondary,no,no
42,management,married,tertiary,no,no
32,management,single,tertiary,no,no
43,management,married,tertiary,no,no
39,admin.,single,secondary,no,no
23,blue-collar,married,primary,no,no
43,services,married,secondary,no,no
46,admin.,married,secondary,no,no
31,technician,married,secondary,no,no
38,management,married,tertiary,no,no
53,blue-collar,married,primary,no,no
37,blue-collar,married,primary,no,no
49,entrepreneur,divorced,secondary,no,no
31,unemployed,single,secondary,no,no
45,management,married,tertiary,no,no
58,admin.,married,secondary,no,no
35,blue-collar,single,secondary,no,no
32,technician,single,secondary,no,yes
28,technician,single,tertiary,no,no
26,technician,single,secondary,no,no
48,management,married,tertiary,no,no
30,blue-collar,single,secondary,no,no
31,entrepreneur,single,tertiary,no,no
31,management,married,tertiary,no,no
45,blue-collar,divorced,primary,no,no
38,admin.,married,secondary,no,
34,management,married,tertiary,no,no
42,services,married,secondary,no,yes
60,self-employed,married,primary,no,yes
42,,single,secondary,no,yes
32,admin.,single,secondary,no,no
42,unemployed,divorced,tertiary,no,no
33,services,married,secondary,no,no
42,admin.,married,unknown,no,yes
51,technician,married,tertiary,no,no
36,technician,divorced,secondary,no,no
46,blue-collar,married,secondary,no,no
40,blue-collar,married,secondary,no,no
49,blue-collar,married,secondary,no,no
38,blue-collar,married,secondary,no,no
32,services,single,secondary,no,no
33,services,married,secondary,no,no
57,self-employed,married,tertiary,yes,yes
57,technician,married,secondary,no,no
28,blue-collar,married,secondary,no,no
44,entrepreneur,single,tertiary,no,yes
