age,job,marital status ,education,credit default?,housing loan?,Vehicle loan,y
37,self-employed,married,secondary,no,no,yes,no
38,blue-collar,divorced,secondary,no,yes,no,no
36,services,single,secondary,no,yes,no,no
58,retired,married,secondary,no,no,no,no
37,management,married,tertiary,no,no,no,no
30,technician,single,secondary,no,no,no,no
47,technician,married,secondary,no,yes,no,no
40,technician,married,secondary,no,yes,no,no
42,management,divorced,tertiary,no,no,no,no
71,unknown,married,tertiary,no,no,no,no
54,blue-collar,married,secondary,no,yes,yes,no
53,entrepreneur,married,primary,no,yes,no,yes
33,blue-collar,divorced,secondary,no,no,no,no
30,technician,single,tertiary,no,yes,no,no
39,services,divorced,secondary,no,yes,no,no
32,blue-collar,married,secondary,no,yes,no,no
34,technician,single,secondary,no,no,no,no
39,self-employed,single,tertiary,no,no,no,no
75,retired,married,secondary,no,no,no,no
33,admin.,divorced,secondary,no,yes,yes,no
40,services,married,secondary,no,yes,no,no
37,technician,married,unknown,no,no,no,no
69,retired,married,primary,no,no,no,no
52,unemployed,married,primary,no,yes,no,no
31,admin.,divorced,secondary,no,no,no,no
28,technician,single,secondary,no,no,no,no
29,management,single,tertiary,no,no,no,no
46,services,married,secondary,no,no,no,no
28,blue-collar,married,secondary,no,yes,yes,no
41,admin.,married,secondary,no,no,no,no
42,technician,divorced,secondary,no,no,yes,no
34,admin.,single,secondary,no,no,no,no
28,blue-collar,married,secondary,no,yes,no,yes
43,management,single,secondary,no,yes,no,no
32,technician,married,secondary,no,no,no,no
33,technician,single,tertiary,no,no,no,no
70,retired,married,secondary,no,no,no,no
36,services,married,secondary,no,yes,no,no
53,technician,married,secondary,no,no,no,no
30,blue-collar,single,secondary,no,no,no,no
45,services,divorced,secondary,no,no,no,no
31,services,single,secondary,no,yes,no,no
28,admin.,married,secondary,no,yes,no,no
45,blue-collar,married,primary,no,no,no,no
51,management,married,tertiary,no,yes,yes,no
53,management,married,primary,no,no,no,no
40,technician,married,secondary,no,yes,no,no
53,blue-collar,married,primary,no,yes,no,no
31,blue-collar,divorced,secondary,no,yes,no,no
30,management,married,tertiary,no,no,no,no
53,entrepreneur,married,secondary,no,yes,no,no
40,blue-collar,married,primary,no,yes,no,no
26,management,single,secondary,no,yes,no,no
47,blue-collar,married,secondary,no,yes,no,no
51,management,married,tertiary,no,no,no,no
45,unemployed,married,primary,no,yes,yes,no
35,management,married,tertiary,no,yes,no,no
36,management,single,tertiary,no,yes,no,no
57,admin.,married,secondary,no,no,no,no
42,blue-collar,married,primary,no,yes,no,no
32,blue-collar,married,secondary,yes,yes,no,yes
30,management,married,tertiary,no,no,no,yes
36,technician,married,secondary,no,no,no,no
43,technician,married,secondary,no,yes,no,no
69,retired,single,tertiary,no,no,no,yes
31,technician,single,tertiary,no,no,no,no
35,technician,married,secondary,no,no,no,no
26,entrepreneur,married,tertiary,no,yes,yes,no
46,technician,married,secondary,no,no,yes,no
30,technician,married,secondary,no,yes,no,no
33,management,single,tertiary,no,no,no,no
34,management,married,tertiary,no,yes,no,no
48,blue-collar,married,primary,no,yes,no,no
31,management,married,tertiary,no,no,no,no
46,management,divorced,tertiary,no,no,no,no
40,services,married,secondary,no,no,no,no
39,entrepreneur,married,secondary,no,no,no,no
33,technician,single,secondary,no,yes,yes,no
50,blue-collar,married,primary,no,yes,no,no
84,retired,divorced,primary,no,no,no,yes
40,blue-collar,married,primary,no,yes,yes,no
55,management,married,tertiary,no,no,no,no
40,services,divorced,secondary,no,yes,no,no
46,admin.,married,primary,no,no,no,no
43,self-employed,single,tertiary,no,no,no,no
34,blue-collar,married,secondary,no,yes,no,no
35,technician,single,secondary,no,no,no,no
57,retired,married,unknown,no,yes,no,no
25,student,single,secondary,no,no,no,yes
32,self-employed,married,tertiary,no,yes,no,no
52,retired,single,secondary,no,no,no,no
31,self-employed,single,tertiary,yes,yes,no,no
34,management,married,tertiary,no,yes,no,no
42,technician,divorced,secondary,no,no,no,no
47,blue-collar,divorced,primary,no,yes,no,yes
50,self-employed,divorced,tertiary,no,yes,no,yes
30,technician,married,secondary,no,yes,yes,yes
33,services,single,secondary,no,yes,no,no
56,technician,single,tertiary,no,no,no,no
34,admin.,divorced,secondary,no,yes,no,no
33,technician,married,secondary,no,yes,yes,no
32,management,single,tertiary,no,yes,no,no
34,management,married,tertiary,no,yes,no,no
37,technician,married,secondary,no,yes,no,no
30,management,married,secondary,no,yes,no,no
29,blue-collar,married,secondary,no,yes,yes,no
56,unemployed,divorced,primary,no,no,no,no
31,management,married,tertiary,no,yes,no,no
59,unknown,married,unknown,no,no,no,no
36,housemaid,married,secondary,no,no,no,no
51,blue-collar,divorced,secondary,no,yes,no,no
54,self-employed,divorced,primary,no,yes,no,no
37,management,married,tertiary,no,no,no,no
32,technician,married,tertiary,no,no,no,no
42,self-employed,married,tertiary,no,no,no,no
29,blue-collar,married,secondary,no,no,no,no
52,blue-collar,married,primary,no,yes,no,no
40,technician,married,secondary,no,no,no,no
30,services,married,secondary,no,no,yes,no
55,entrepreneur,divorced,secondary,no,yes,no,yes
49,management,married,tertiary,no,yes,no,no
33,technician,married,tertiary,no,no,no,no
32,services,single,secondary,no,no,yes,no
21,student,single,secondary,no,no,no,no
42,technician,married,secondary,no,yes,no,no
56,self-employed,married,secondary,no,no,yes,no
39,unknown,single,secondary,no,no,no,no
30,entrepreneur,single,secondary,no,no,no,no
55,retired,married,secondary,no,no,no,no
43,blue-collar,married,primary,no,yes,no,no
53,unemployed,married,secondary,no,no,no,yes
57,retired,married,secondary,no,no,no,yes
39,self-employed,single,unknown,no,no,no,no
56,technician,divorced,tertiary,no,yes,no,no
29,services,single,unknown,no,no,no,no
38,blue-collar,married,primary,no,yes,yes,no
59,management,married,tertiary,no,xxxyy,no,no
42,technician,single,unknown,no,yes,no,no
46,blue-collar,married,primary,no,yes,no,no
31,admin.,married,secondary,no,yes,no,no
35,services,divorced,secondary,no,yes,no,no
50,self-employed,married,secondary,no,no,no,no
42,blue-collar,married,primary,no,yes,no,no
36,services,single,secondary,no,no,no,no
25,admin.,single,tertiary,no,no,no,no
42,management,single,tertiary,no,no,no,no
27,student,single,tertiary,no,yes,no,no
32,blue-collar,married,primary,no,yes,no,yes
57,management,married,tertiary,no,yes,no,no
48,blue-collar,married,secondary,no,yes,no,no
34,blue-collar,divorced,secondary,no,yes,no,no
33,services,married,secondary,no,yes,yes,no
26,technician,single,secondary,no,yes,no,no
50,blue-collar,married,secondary,no,no,no,no
60,technician,single,tertiary,no,no,no,no
47,management,married,tertiary,no,yes,no,no
31,management,married,tertiary,no,no,no,no
52,technician,married,tertiary,no,no,no,no
36,services,married,secondary,no,yes,no,no
43,blue-collar,married,primary,no,yes,no,no
30,technician,single,tertiary,no,yes,no,no
32,blue-collar,married,secondary,no,no,no,no
31,management,single,tertiary,no,yes,no,no
29,management,single,secondary,no,yes,no,no
48,services,divorced,secondary,no,no,yes,no
32,services,single,secondary,no,no,no,yes
30,housemaid,single,tertiary,no,no,no,no
48,blue-collar,married,secondary,no,yes,no,yes
51,blue-collar,married,unknown,no,yes,no,no
34,management,married,tertiary,no,no,no,yes
35,blue-collar,married,secondary,no,yes,no,no
49,management,single,primary,no,no,no,no
36,unemployed,married,secondary,no,yes,yes,no
37,blue-collar,divorced,secondary,no,yes,no,no
37,management,married,tertiary,no,yes,no,no
49,blue-collar,married,primary,no,no,no,no
44,services,divorced,secondary,no,yes,yes,no
40,student,married,secondary,no,no,no,no
57,technician,married,secondary,no,yes,no,no
39,technician,married,secondary,no,yes,no,no
38,services,married,secondary,no,no,yes,no
51,blue-collar,divorced,secondary,no,yes,no,no
27,blue-collar,single,secondary,no,no,no,yes
38,blue-collar,single,tertiary,no,no,no,no
30,technician,single,secondary,no,yes,yes,yes
36,student,single,unknown,no,no,no,no
37,unemployed,married,secondary,no,no,no,yes
53,admin.,married,secondary,no,no,no,no
38,unemployed,married,tertiary,no,yes,no,yes
48,management,married,tertiary,no,no,yes,no
26,housemaid,married,secondary,no,yes,no,no
33,blue-collar,single,secondary,no,yes,no,yes
47,technician,married,unknown,no,yes,no,no
45,management,divorced,tertiary,no,yes,no,no
32,blue-collar,divorced,secondary,no,yes,no,no
69,retired,married,unknown,no,no,no,yes
65,unknown,married,unknown,no,no,no,yes
37,blue-collar,married,secondary,no,yes,no,no
45,blue-collar,divorced,primary,no,yes,no,no
36,blue-collar,married,secondary,no,yes,no,no
62,self-employed,divorced,tertiary,no,yes,no,yes
37,management,married,tertiary,no,no,yes,no
39,services,divorced,secondary,no,yes,no,yes
38,technician,single,secondary,no,yes,no,yes
31,management,married,tertiary,no,yes,no,no
58,blue-collar,divorced,primary,no,yes,no,no
44,management,single,tertiary,no,yes,no,no
31,blue-collar,married,secondary,no,yes,no,yes
33,technician,single,secondary,no,no,no,yes
36,technician,single,tertiary,no,no,no,yes
31,technician,single,secondary,no,no,no,no
45,admin.,married,secondary,no,yes,no,no
30,technician,single,tertiary,no,no,no,no
34,blue-collar,married,secondary,no,yes,no,no
34,management,married,tertiary,no,yes,yes,no
39,admin.,divorced,secondary,no,yes,no,no
41,management,married,tertiary,no,no,no,no
32,services,single,secondary,no,yes,no,no
32,management,single,tertiary,no,no,no,no
36,blue-collar,married,primary,no,yes,no,no
35,admin.,married,tertiary,no,yes,no,no
32,management,single,tertiary,no,yes,no,yes
33,management,single,tertiary,no,yes,no,no
49,entrepreneur,married,primary,no,no,no,no
35,management,married,tertiary,no,no,no,no
31,technician,married,secondary,no,no,yes,no
42,management,married,secondary,no,no,no,no
34,housemaid,married,primary,no,no,no,yes
32,services,married,secondary,yes,yes,yes,no
29,management,single,tertiary,no,yes,no,no
32,services,single,secondary,no,yes,no,no
50,housemaid,single,unknown,no,no,no,no
58,retired,married,secondary,no,no,yes,no
59,technician,married,secondary,no,no,no,yes
25,student,married,tertiary,no,yes,no,yes
57,services,married,secondary,no,yes,no,no
30,blue-collar,single,secondary,no,yes,no,no
26,services,single,secondary,no,yes,no,no
50,services,single,primary,no,yes,no,no
39,services,married,secondary,no,yes,no,no
45,blue-collar,married,primary,no,yes,no,no
37,management,divorced,tertiary,no,no,yes,no
47,blue-collar,divorced,primary,no,yes,no,no
50,technician,married,tertiary,no,yes,yes,no
40,management,married,secondary,no,no,no,no
35,blue-collar,married,primary,no,yes,no,no
53,management,married,tertiary,no,no,no,yes
35,admin.,married,secondary,no,yes,yes,no
54,technician,married,secondary,no,no,yes,no
35,admin.,single,secondary,no,yes,no,no
31,housemaid,married,unknown,yes,no,yes,no
46,technician,divorced,secondary,no,yes,no,no
52,management,married,secondary,no,no,no,yes
34,admin.,divorced,secondary,no,no,no,yes
46,services,divorced,secondary,no,yes,yes,no
54,self-employed,married,secondary,no,yes,no,no
37,admin.,married,tertiary,no,yes,no,no
39,admin.,married,tertiary,no,no,no,no
50,technician,married,tertiary,no,yes,yes,no
44,technician,divorced,secondary,no,no,no,no
56,admin.,married,secondary,no,yes,no,no
40,services,married,tertiary,no,no,no,no
36,services,married,secondary,no,yes,yes,no
33,management,married,tertiary,no,yes,no,no
33,blue-collar,single,secondary,no,yes,no,no
42,services,married,secondary,no,yes,no,no
30,self-employed,single,tertiary,no,yes,yes,no
33,admin.,single,secondary,no,no,no,no
26,blue-collar,single,secondary,no,yes,yes,no
26,admin.,single,secondary,no,no,yes,no
37,services,married,secondary,no,yes,yes,no
59,retired,married,primary,no,no,no,yes
49,blue-collar,married,primary,no,yes,no,no
33,blue-collar,single,primary,no,yes,no,no
46,technician,single,secondary,no,yes,no,no
55,entrepreneur,married,primary,no,yes,no,no
49,services,married,tertiary,no,yes,no,no
51,technician,married,secondary,no,yes,no,no
27,admin.,married,secondary,no,yes,no,no
44,technician,married,secondary,no,no,no,no
31,technician,single,secondary,no,no,no,no
46,blue-collar,married,primary,no,yes,no,no
22,student,single,secondary,no,yes,no,no
49,blue-collar,single,primary,no,yes,no,yes
44,unemployed,married,secondary,no,yes,no,no
31,self-employed,single,secondary,no,yes,no,no
53,blue-collar,married,primary,no,yes,no,no
55,management,married,tertiary,no,no,no,no
35,technician,married,secondary,no,no,no,no
35,blue-collar,married,secondary,no,yes,no,no
37,management,single,tertiary,no,yes,no,no
50,blue-collar,married,secondary,no,yes,no,no
37,management,married,primary,no,yes,no,no
37,blue-collar,single,primary,no,yes,no,no
29,management,single,tertiary,no,no,no,yes
31,admin.,single,secondary,no,yes,no,no
40,technician,married,secondary,no,yes,no,no
47,services,divorced,secondary,no,no,no,no
55,self-employed,married,secondary,no,no,yes,no
33,technician,single,secondary,no,yes,no,no
53,services,divorced,secondary,no,no,no,no
38,management,single,tertiary,no,no,no,yes
61,management,married,secondary,no,no,no,no
43,unemployed,divorced,secondary,no,yes,no,no
42,housemaid,married,primary,no,yes,no,no
36,management,divorced,tertiary,no,no,no,no
31,technician,single,tertiary,no,yes,no,no
59,management,married,unknown,no,no,no,no
29,blue-collar,married,primary,no,yes,no,no
33,technician,married,secondary,no,yes,no,no
44,blue-collar,married,primary,no,yes,no,no
43,blue-collar,married,secondary,no,yes,no,no
42,management,married,tertiary,no,yes,no,no
32,management,single,tertiary,no,no,no,no
43,management,married,tertiary,no,yes,no,no
39,admin.,single,secondary,no,yes,no,no
23,blue-collar,married,primary,no,yes,no,no
43,services,married,secondary,no,no,no,no
46,admin.,married,secondary,no,yes,no,no
31,technician,married,secondary,no,yes,no,no
38,management,married,tertiary,no,no,no,yes
53,blue-collar,married,primary,no,yes,no,no
37,blue-collar,married,primary,no,yes,no,no
49,entrepreneur,divorced,secondary,no,no,no,no
31,unemployed,single,secondary,no,no,no,no
45,management,married,tertiary,no,no,no,no
58,admin.,married,secondary,no,yes,no,no
35,blue-collar,single,secondary,no,yes,no,no
32,technician,single,secondary,no,yes,yes,no
28,technician,single,tertiary,no,yes,no,no
26,technician,single,secondary,no,yes,no,yes
48,management,married,tertiary,no,yes,no,no
30,blue-collar,single,secondary,no,no,no,no
31,entrepreneur,single,tertiary,no,no,no,no
31,management,married,tertiary,no,yes,no,no
45,blue-collar,divorced,primary,no,no,no,no
38,admin.,married,secondary,no,yes,,no
34,management,married,tertiary,no,yes,no,no
42,services,married,secondary,no,yes,yes,no
60,self-employed,married,primary,no,no,yes,yes
42,,single,secondary,no,yes,yes,yes
32,admin.,single,secondary,no,yes,no,yes
42,unemployed,divorced,tertiary,no,no,no,no
33,services,married,secondary,no,yes,no,no
42,admin.,married,unknown,no,yes,yes,no
51,technician,married,tertiary,no,no,no,no
36,technician,divorced,secondary,no,yes,no,no
46,blue-collar,married,secondary,no,yes,no,yes
40,blue-collar,married,secondary,no,yes,no,no
49,blue-collar,married,secondary,no,no,no,no
38,blue-collar,married,secondary,no,yes,no,no
32,services,single,secondary,no,yes,no,no
33,services,married,secondary,no,,no,no
57,self-employed,married,tertiary,yes,yes,yes,no
57,technician,married,secondary,no,no,no,no
28,blue-collar,married,secondary,no,no,no,no
44,entrepreneur,single,tertiary,no,yes,yes,no
